NTH,Airtel,9mobile,Globacom,MTN,Visafone,TOTAL
Jul'25,"56,523,790","2,727,594","20,741,354","89,137,003",,"169,129,741"
Jun'25,"58,965,827","2,436,993","20,885,055","89,243,348",,"171,531,223"
May'25,"58,929,511","2,673,231","20,622,027","90,249,857",,"172,474,626"
Apr'25,"58,586,914","2,964,445","20,607,726","90,508,170",,"172,667,255"
Mar'25,"58,255,824","2,964,445","20,716,119","90,494,670",,"172,431,058"
Feb'25,"57,864,439","2,964,445","20,527,965","89,259,472",,"170,616,321"
Jan'25,"57,665,796","3,283,270","20,545,782","87,549,410",,"169,044,258"
Dec'24,"56,619,381","3,283,270","20,137,951","84,607,831",,"164,648,433"
Nov'24,"55,428,732","3,283,270","19,639,983","81,220,470",,"159,572,455"
Oct'24,"54,446,118","3,389,897","19,108,272","80,376,120",,"157,320,407"
Sep'24,"53,748,688","3,635,160","19,152,907","78,097,681",,"154,634,436"
Aug'24,"53,047,012","4,650,322","21,414,774","80,131,147",,"159,243,255"
Jul'24,"58,161,965","4,650,322","21,240,976","82,273,039",,"166,326,302"
Jun'24,"59,965,807","5,834,159","21,001,155","83,767,545",,"170,568,666"
May'24,"60,713,852","6,076,095","21,762,191","83,250,406",,"171,802,544"
Apr'24,"62,933,351","8,956,568","62,055,248","82,716,236",,"216,661,403"
Mar'24,"63,357,061","11,657,703","62,191,448","81,799,666",,"219,005,878"
Feb'24,"63,036,167","13,648,177","62,103,201","80,895,695",,"219,683,240"
Jan'24,"62,601,992","13,799,694","61,926,445","79,784,880",,"218,113,011"
Dec'23,"61,834,105","13,935,482","61,604,576","87,038,768",,"224,412,931"
Nov'23,"61,298,628","13,979,025","61,541,161","85,984,741",,"222,803,555"
Oct'23,"60,670,877","13,823,880","61,505,418","85,748,549",,"221,748,724"
Sep'23,"60,272,854","13,762,115","61,451,508","85,854,576",,"221,341,053"
Aug'23,"60,169,082","13,791,079","61,395,108","85,005,917",,"220,361,186"
Jul'23,"60,083,943","13,754,536","61,357,093","85,341,661",,"220,537,233"
Jun'23,"60,190,732","13,578,431","61,333,528","84,663,653",,"219,766,344"
May'23,"60,527,768","13,660,665","61,153,677","85,589,578",,"220,931,688"
Apr'23,"60,331,845","13,403,345","60,927,963","88,675,062",,"223,338,215"
Mar'23,"60,328,560","13,140,608","60,799,946","91,552,179",,"225,821,293"
Feb'23,"60,300,140","13,073,342","60,755,096","92,707,154",,"226,835,732"
Jan'23,"60,563,767","13,031,585","60,334,534","91,950,307",,"225,880,193"
Dec'22,"60,065,904","12,852,706","60,290,012","89,016,678",,"222,225,300"
Nov'22,"59,382,939","12,841,105","59,950,116","86,434,447",,"218,608,607"
Oct'22,"58,669,071","12,771,293","59,637,842","83,271,892",,"214,350,098"
Sep'22,"58,403,066","12,842,575","59,395,911","81,210,549",,"211,852,101"
Aug'22,"58,369,443","12,759,000","58,868,524","79,604,986",,"209,601,953"
Jul'22,"58,234,449","12,595,516","58,330,200","79,444,831",,"208,604,996"
Jun'22,"58,143,494","12,659,356","56,226,479","79,052,391",,"206,081,720"
May'22,"57,620,868","12,657,425","56,226,479","77,709,875",,"204,214,647"
Apr'22,"56,238,397","12,737,270","56,140,334","76,196,034",,"201,312,035"
Mar'22,"55,370,983","12,770,917","55,881,893","75,177,563",,"199,201,356"
Feb'22,"55,004,561","12,842,909","54,987,328","74,933,684",,"197,768,482"
Jan'22,"54,635,863","12,844,810","54,941,362","74,730,738",,"197,152,773"
Dec'21,"53,926,886","12,789,344","54,817,353","73,594,682",,"195,128,265"
Nov'21,"52,907,471","12,757,796","53,733,262","73,455,877",,"192,854,406"
Oct'21,"51,869,068","12,811,869","53,330,987","73,606,915",,"191,618,839"
Sep'21,"51,035,565","12,983,433","52,934,990","73,566,926",,"190,520,914"
Aug'21,"50,860,024","13,021,179","51,983,266","73,133,330",,"188,997,799"
Jul'21,"50,301,237","12,908,092","51,137,799","73,123,732",,"187,470,860"
Jun'21,"50,665,723","12,908,092","50,130,540","73,571,192",,"187,275,547"
May'21,"50,026,788","12,842,775","49,781,215","74,044,687",,"186,695,465"
Apr'21,"50,177,408","12,779,155","50,598,855","74,819,864",,"188,375,282"
Mar'21,"50,384,950","12,850,383","52,918,718","75,927,231",,"192,081,282"
Feb'21,"51,433,333","12,772,889","54,179,431","77,349,014",,"195,734,667"
Jan'21,"53,425,229","12,808,582","54,594,502","79,035,514",,"199,863,827"
Dec'20,"55,642,209","12,982,149","54,840,129","80,764,128",,"204,149,436"
Nov'20,"57,231,523","13,188,059","55,089,386","82,022,621",,"207,531,589"
Oct'20,"56,214,072","12,953,121","55,079,362","83,331,682",,"207,578,237"
Sep'20,"55,250,798","12,729,222","54,254,550","82,635,082",,"204,869,652"
Aug'20,"54,766,947","12,377,612","52,934,089","83,083,913",,"203,162,561"
Jul'20,"53,705,705","12,163,330","52,741,762","80,350,564",,"198,961,361"
Jun'20,"52,462,347","12,111,674","52,573,907","78,754,855",,"195,902,783"
May'20,"51,496,256","12,225,678","52,057,254","76,017,864",,"191,934,138"
Apr'20,"51,258,382","12,568,088","51,838,290","74,673,648",,"190,338,408"
Mar'20,"51,298,878","12,123,185","51,856,114","73,573,788",,"188,851,965"
Feb'20,"50,488,099","12,243,810","51,804,359","72,473,624","137,086","187,146,978"
Jan'20,"49,997,710","13,157,543","51,755,561","70,693,058","138,144","185,742,016"
Dec'19,"50,186,988","13,641,995","51,700,052","68,762,634","134,518","184,426,187"
Nov'19,"49,650,155","14,164,411","51,137,642","67,348,858","134,274","182,435,340"
Oct'19,"49,081,899","14,792,206","50,255,796","65,870,174","118,270","180,118,345"
Sep'19,"48,909,678","15,334,096","49,211,474","65,328,104","118,842","178,902,194"
Aug'19,"47,921,891","15,602,255","47,265,628","65,707,899","119,386","176,617,059"
Jul'19,"46,836,395","15,739,967","46,713,068","65,260,754","118,442","174,668,626"
Jun'19,"45,929,995","15,965,250","46,594,981","65,259,375",,"173,749,601"
May'19,"45,640,391","16,363,320","46,471,822","64,812,691","117,070","173,405,294"
Apr'19,"45,433,300","16,720,146","46,380,756","64,732,167","117,434","173,383,803"
